Code;Description (ISO 14224);Failure Mode for Failure Tree;Definition / Concept;Application Context;Typical Examples
AIR;Abnormal instrument reading;AIR - Abnormal instrument reading;The instrument shows an incorrect, fluctuating, or inconsistent measurement not matching the actual value. Often due to calibration drift or sensor fault.;Instrumentation / Control systems – transmitters, sensors, gauges, PLC inputs.;"Pressure transmitter showing wrong reading; faulty thermocouple; false alarm."
BRD;Breakdown;BRD - Breakdown;Sudden, total, and catastrophic failure of a component or subassembly.;Rotating / Mechanical / Electrical equipment.;Shaft breakage, bearing seizure, rotor destruction.
CLW;Control-line-to-well communication;CLW - Control-line-to-well communication;Hydraulic or electrical control line communicates unintentionally with the well fluids.;Subsea and well control systems.;Hydraulic crossflow between well and control line.
CSF;Control / signal failure;CSF - Control / signal failure;Failure to send, receive, or interpret a control or signal properly.;Automation / instrumentation / control systems.;"Valve actuator not responding to command; PLC output lost."
DOP;Delayed operation;DOP - Delayed operation;Equipment performs its intended function, but with unacceptable delay.;Valves, motors, actuators, starters.;"Slow valve actuation; delayed motor start."
ELF;External leakage – fuel;ELF - External leakage - fuel;External leakage of supplied fuel or gas.;Engines, generators, burners.;Diesel leakage at fuel pump or injector line.
ELP;External leakage – process medium;ELP - External leakage - process medium;Leakage of the main process fluid that the equipment is designed to contain, transport, or process. This includes production fluids such as crude oil, natural gas, process water, injection water, or any fluid that is part of the primary operational process. ELP applies to equipment with containment function (as per ISO 14224 tables B.6-B.13).;Equipment with process containment function: Pumps (process fluid), Compressors (process gas), Valves (process lines), Heat exchangers (process side), Process piping, Pressure vessels, Separators.;"Pump mechanical seal leaking crude oil; process gas leak from compressor seal; gasket failure on process flange; injection water leak from valve body; product oil leak from heat exchanger tube."
ELU;External leakage – utility medium;ELU - External leakage - utility medium;Leakage of auxiliary/utility fluids that support the operation of equipment but are NOT part of the main process. Includes lubricating oil, cooling water, service air, hydraulic oil, seal flush fluids, and other support fluids. ELU does NOT apply to equipment without fluid systems (e.g., junction boxes, dry electrical enclosures). Valid only when equipment has utility fluid circuits (as per ISO 14224 tables B.6-B.13).;Equipment with utility/auxiliary fluid systems: Lubrication systems, Cooling systems, Hydraulic systems, Pneumatic systems (service air), Seal support systems, Utility piping. NOT VALID for: Junction boxes, Terminal boxes, Dry electrical enclosures, Cable glands (no utility fluids present).;"Cooling-water hose rupture on heat exchanger; lube-oil leak from bearing housing; hydraulic oil leak from actuator; service air leak from instrument supply line; seal flush water leak. INVALID: Junction box (no fluids), Cable termination box (electrical only)."
ERO;Erratic output;ERO - Erratic output;Output signal or performance is unstable, oscillating, or noisy.;Instrumentation, control valves, variable-speed drives.;"Regulator hunting; unstable transmitter signal."
FCO;Failure to connect;FCO - Failure to connect;Equipment fails to couple or connect as intended.;Electrical or mechanical connectors / couplings.;"Plug doesn’t engage; mechanical joint misaligned."
