Item Class;Item Class Name;Boundaries;Maintenance Strategy Overview;Scope;Parent Item Class;Other Associated Item Classes;Notes;Task Template ID;Definition;Application;Justification;Low Risk Frequency;Unit Low;Medium Risk Frequency;Unit Medium;High Risk Frequency;Unit High
SEWM;Fire Fighting System, Water Mist;"Includes test points
Includes alarm devices
Includes power supply
Includes water mist spray system, pipework and nozzles";;;;;;;;;;;;;;;
LSHE;Helideck Safety Equipment;"Includes helicopter crash rescue equipment harnesses and straps
Includes helicopter crash rescue equipment cutting tools
Includes helicopter crash rescue equipment lighting
Includes helicopter crash rescue equipment communication devices
Includes helicopter crash rescue equipment medical supplies
Includes helicopter crash rescue equipment winches and hoists
Includes helicopter crash rescue equipment protective gear
Includes helicopter crash rescue equipment signaling devices
Includes helicopter crash rescue equipment";;;;;;;;;;;;;;;
HEPL;Heat Exchanger, Plate;"Includes plate pack
Includes gaskets/seals
Includes frame and clamping mechanism
Includes inlet/outlet nozzles and connections
Includes thermal insulation
Includes both sides of the exchanger
Includes its fittings and any supporting structure
Excludes Printed Circuit Heat Exchanger (own EST HEPC)";;;;;;;;;;;;;;;
VEDA;Dearator;"Includes internal trays/packing
Includes spray nozzles/distribution system
Includes vent condenser
Includes internal baffles/weirs
Includes steam pressure regulator
Includes steam sparger
Includes the column
Includes its fittings and its supporting structure";;;;;;;;;;;;;;;
RFTU;Topside Umbilicals Termination Unit;"Includes TUTU structural supports
Includes TUTU electrical connectors
Includes TUTU sealing gaskets
Includes TUTU fasteners (bolts, nuts)
Includes All Cameron TUTU components
Includes overall TUTU Assembly
Excludes TUTU Manual/Actuated Valves
Excludes TUTU Control Panel (own item class EELP)
Excludes TUTU pressure gauges (own item class IPPG)";;;;;;;;;;;;;;;
CDCJ;Chain Jack;"Includes Lubrication system
Includes Electrical wiring and connections
Includes Structural bolts and fasteners
Includes traveling platform and associated drives, rails and structure
Includes non-driven chain wheels
Excludes Hydraulic Power Unit
Excludes Fairlead
Excludes Chain Connector";;;;;;;;;;;;;;;
VASO;Valve, Solenoid;"Includes coil
Includes spring
Includes seals/gaskets
Includes electrical connections/terminals
Includes consideration of equipment EX inspection requirements
Excludes Blow Down Valves
Excludes Control valves
Excludes position/limit switches and transmitters
Excludes Shut Down Valves";;;;;;;;;;;;;;;
VECA;Coalescer;"Includes internal coalescing media (e.g., plates, cartridges, or packing)
Includes internal sampling points
Includes internal inlet and outlet nozzles and connections
Includes internal baffles or weirs
Includes internal gaskets and seals
Includes internal insulation (if applicable for thermal management)
Includes the vessel, its fittings and its supporting structure
Excludes the power supply to electrostatic coalescers";;;;;;;;;;;;;;;
VADI;Valve, Diaphragm;"Includes bonnet
Includes stem
Includes seat
Includes gaskets
Includes bolts/nuts
Includes handwheel
Includes internal components and piping connections
Excludes valve actuators";;;;;;;;;;;;;;;
VAVB;Angle valve;"
Includes:
- valve body, flanges & joints
- internal components

Excludes:
- instrumentation, positional indicators, etc.

- valve actuators";;;;;;;;;;;;;;;
LSPI;Pyrotechnics Equipment;All pyrotechnics and Stowage Cabinet;;;;;;;;;;;;;;;
EMCT;Multi Cable Transit (MCT);"Includes Fire seal material
Includes Frame/body structure
Includes Mounting hardware
Includes Cable gland seals
Includes Internal clamping mechanisms";;;;;;;;;;;;;;;
IPCC;Corrosion Coupon;"Includes corrosion probe fittings
Excludes corrosion sensor element(s) and associated analogue output to local data collection units and the process control system (if applicable)";;;;;;;;;;;;;;;
SWSW;Fluid swivel;"Includes Swivel seals
Includes Swivel gaskets
Includes Swivel alignment pins
Includes All toroidal swivels (utility, product, gas, water injection, firewater, MEG, etc.)
Includes Lubrication oil pots where fitted
Includes All bolting on the swivel, including support's bolting
Includes Swivel support
Includes Electrical/optical cables and associated clamps
Includes Inner pipes / tubing routing and associated clamps
Includes Driving system for all types of swivels, including driving fork for electro-optical swivels
Includes Driving lugs on swivel side
Includes Driving column
Includes All bolting linked with the driving system
Excludes Swivel Lubrication unit
Excludes Swivel Oil pressurisation unit
Excludes Swivel Leak Recuperation unit
Excludes System leak recuperation
Excludes System oil pressurisation";;;;;;;;;;;;;;;
PUED;Eductor;"Includes Diffuser
Includes Suction chamber
Includes Motive fluid inlet
Includes Discharge outlet
Includes Internal gaskets/seals
Includes Mounting hardware
Excludes associated instrumentation and valves";;;;;;;;;;;;;;;
PKBW;Bilge Water Separator Package;"Includes Internal gaskets and seals
Includes Internal instrumentation wiring
Includes Internal separation components (plates, coalescing elements, internal baffles)
Excludes Pumps associated with bilge transfer, feed, discharge, or recirculation
Excludes Strainers/filters upstream or downstream of the separator
Excludes Overboard discharge valves or piping systems";;;;;;;;;;;;;;;
